construction,ENVO_00000070 ,(Non-IFSAC) Environmental - Construction,,,,construction,ENVO_00000070 ,(Non-IFSAC) Environmental - Construction,,,,,
environmental feature,ENVO_00002297,(Non-IFSAC) Environmental - Feature,,,,environmental feature,ENVO_00002297,(Non-IFSAC) Environmental - Feature,,,,,
water mass,ENVO_01000685,,,,,,,,,,,,
food product by consumer group,FOODON_00002147,(Non-IFSAC) Food Product - By Consumer Group,,,,food product by consumer group,FOODON_00002147,(Non-IFSAC) Food Product - By Consumer Group,,,,,
anatomical entity,UBERON_0001062,(Non-IFSAC) Anatomical Entity,,,,anatomical entity,UBERON_0001062,(Non-IFSAC) Anatomical Entity,,,,,
organism substance,UBERON_0000463,(Non-IFSAC) Clinical,,,,organism substance,UBERON_0000463,(Non-IFSAC) Clinical,,,,,
fungus,FOODON_03411261,Fungi,,,,fungus,FOODON_03411261,Fungi,,,,,
nut producing plant,FOODON_03411213,Nut,,,,nut producing plant,FOODON_03411213,Nut,,,,,
egg yolk,UBERON_0007378,Eggs,,,,egg yolk,UBERON_0007378,Eggs,,,,,
feces,ENVO_00002003,Clinical-Fecal,,,,feces,ENVO_00002003,Clinical-Fecal,,,,,
fertilizer,CHEBI_33287,Clinical,,,,,,,,,,,
dairy dessert food product,FOODON_00001800,Dairy,,,,,,,,,,,
blood,ENVO_02000020,Clinical,,,,,,,,,,,
plant fruit food product,FOODON_00001057,Plant Fruit,,,,,,,,,,,
vehicle,ENVO_01000604,Environmental-Vehicle,,,,,,,,,,,
animal feed,ENVO_02000047,,,,,,,,,,,,
cucumber vegetable food product,FOODON_00001795,,,,,,,,,,,,
musculus,NCBITaxon_112137,,,,,,,,,,,,
Canis lupus familiaris,NCBITaxon_9615,Companion Animal,,,,,,,,,,,
Felis catus,NCBITaxon_9685,Companion Animal,,,,,,,,,,,
Girrafa,NCBITaxon_9893,,,,,,,,,,,,
swab,NCIT_C17627,,,,,,,,,,,,
ovis aries,NCBITaxon_9940,,,,,,,,,,,,
meleagris,NCBITaxon_9102,,,,,,,,,,,,
musculus,NCBITaxon_112137,,,,,,,,,,,,
sesame food product,FOODON_00002232,,,,,,,,,,,,
liquid water,ENVO_00002006 ,,,,,,,,,,,,
environmental (swab or sampling),GENEPIO_0001732,,,,,,,,,,,,
ginger food product,FOODON_00001901,,,,,,,,,,,,
bodily fluid material,ENVO_02000019,,,,,,,,,,,,
leguminous vegetable food product,FOODON_00001994,Legumes,,,,,,,,,,,
pet treat,GENEPIO_0001056,,,,,,,,,,,,
salad,FOODON_03316042,,,,,,,,,,,,
strawberry pie (food product),FOODON_03307643,,,,,,,,,,,,
tuna salad (food product),FOODON_03308735,,,,,,,,,,,,
amphibian,FOODON_03411624,Wild Animals,,Wild Animals,,,,,,,,,
bivalve,FOODON_03412113
Actinopterygii,NCBITaxon_7898
prepared food product,FOODON_00001180
vertebrate animal food product,FOODON_00001092,needed because envo is missing its correct parents
vertebrate animal food source,FOODON_03411297,needed because envo is missing its correct parents
cattle,FOODON_03411161,needed because foodon has this subclassed under beef food product
biological product,ENVO_02000043
gull,foodon_03413503
breast,uberon_0000310
liver,uberon_0002107
milk,uberon_0001913
chicken meat food product,foodon_00001040
broccoli vegetable food product,FOODON_00001666
fruit juice food product,FOODON_00001140
citrus fruit juice,FOODON_00001156
dog,NCIT_C14201
dog,FOODON_03414847
organic feature,ENVO_01000159
mass of biological material,ENVO_01000549
biotic mesoscopic physical object,ENVO_01000009
food material,FOODON_00002403,stop un-matched foods from reaching environmental
food source,FOODON_03411564,stop un-matched foods from reaching environmental
foodon product type,FOODON_00001002,stop un-matched foods from reaching environmental
Bilateria,NCBITaxon_33213
Viridiplantae,NCBITaxon_33090
Homo sapiens,NCBITaxon_9606
Fungi,NCBITaxon_4751
mixture,CHEBI_60004
plant floret vegetable food product,FOODON_00002140
plant,FOODON_03411347
fruit-producing plant,FOODON_03411140
vegetable-producing plant,FOODON_03411579
spice or flavor-producing plant,FOODON_03411179
leaf,PO_0025034
plant feed,ENVO_02000055
