Ontology ID,IFSAC Label,Bucket,,,,,Ontology ID,IFSAC Label,Bucket,,IFSAC Label,,,,,,
FOODON_00001251,Avian,avian food product,,,,,FOODON_00001251,Poultry,avian food product,,Poultry,,,,,,
FOODON_03411261,Fungi,fungus,,,,,FOODON_03411261,Fungi,fungus,,Fungi,,,,,,
FOODON_03411213,Nuts,nut producing plant,,,,,FOODON_03411213,Nut,nut producing plant,,Nut,,,,,,
UBERON_0007378,Eggs,egg yolk,,,,,UBERON_0007378,Eggs,egg yolk,,,,,,,,
FOODON_00001792,Crustaceans,crustacean food product,,,,,FOODON_00001792,Crustaceans,crustacean food product,,,,,,,,
ENVO_00002003,Clinical/Research,feces,,,,,ENVO_00002003,Clinical-Fecal,feces,,,,,,,,
FOODON_00001248,Fish,fish food product,,,,,FOODON_00001248,Fish,fish food product,,,,,,,,
ENVO_00003862,Dairy,dairy,,,,,,,,,,,,,,,
CHEBI_33287,Environmental-Farm,fertilizer,,,,,,,,,,,,,,,
FOODON_00001800  ,Dairy,dairy dessert food product,,,,,,,,,,,,,,,
ENVO_02000020,Clinical/Research,blood,,,,,,,,,,Pork Meat case,,,,,
FOODON_00001057,Fruits,plant fruit food product,,,,,,,,,,,,,,,
ENVO_01000685,Environmental-Water,,,,,,,,,,,,,,,,
NCBITaxon_9940,Sheep,ovis aries,,FOODON_03411229,Companion Animals,horse,,,,,,,,,,,
ENVO_01000604,Environmental-Vehicle,vehicle,,,,,,,,,,,,,,,
ENVO_02000047,Animal Feed,animal feed,,,,,,,,,,,,,,,
FOODON_00001795,Seeded Vegetable (Vine Grown),cucumber vegetable food product,,,,,,,,,,,,,,,
NCBITaxon_112137,Other Animals,musculus,,,,,,,,,,,,,,,
NCBITaxon_9615,Companion Animals,Canis lupus familiaris,dog,,:,,,,,,,,,,,,
NCBITaxon_9685,Companion Animals,Felis catus,,,horse:,,,,,,,,,,,,
NCBITaxon_9893,Wild Animals,Girrafa,,,,,,,,,,,,,,,
NCIT_C17627,Clinical/Research,swab,,,,,,,,,,,,,,,
NCBITaxon_9102,Turkey,meleagris,,,,,,,,,,,,,,,
NCBITaxon_112137,Other Animals,musculus,,,,,,,,,,,,,,,
FOODON_00002232,Seeds,sesame food product,,,,,,,,,,,,,,,
ENVO_00002006 ,Environmental-Water,liquid water,,,,,,,,,,,,,,,
GENEPIO_0001732,Environmental,environmental (swab or sampling),,,,,,,,,,,,,,,
FOODON_03411374,Crustaceans,crustacean,,,,,,,,,,,,,,,
ENVO_02000019 ,Clinical/Research,bodily fluid material,,,,,,,,,,,,,,,
FOODON_00001046,Aquatic Animals,seafood product,,,,,,,,,,,,,,,
FOODON_00001994,Legumes,leguminous vegetable food product,,,,,,,,,,,,,,,
GENEPIO_0001056,Animal Feed,pet treat,,,,,,,,,,,,,,,
FOODON_03316042,Multi Ingredient,salad,,,,,,,,,,,,,,,
FOODON_03307643,Small Fruit,strawberry pie (food product),,,,,,,,,,,,,,,
FOODON_03308735,Multi Ingredient,tuna salad (food product),,,,,,,,,,,,,,,
FOODON_00002111,Seeded Vegetable (Solanaceous),pepper vegetable food product (green or red),,,,,,,,,,,,,,,
FOODON_03411624,Wild Animals,amphibian,,,,,,,,,,,,,,,
FOODON_03412113,Bi-Valve Mollusk
NCBITaxon_7898,Fish
FOODON_00001180,Multi Ingredient
FOODON_00001092,Animal
FOODON_03411297,Animal
FOODON_03411161,Cow
ENVO_02000043,Clinical/Research
foodon_03413503,game
uberon_0000310,meats
uberon_0002107,meats
uberon_0001913,dairy
foodon_00001040,chicken
FOODON_00001666,Vegetable Row Crops Flower
FOODON_00001140,fruits
FOODON_00001156,Sub-tropical Fruit
NCIT_C14201,Companion Animals
FOODON_03414847,Companion Animals
ENVO_01000159,clinical/research
ENVO_01000549,clinical/research
ENVO_01000009,clinical/research
FOODON_00002403,food,stop un-matched foods from reaching environmental
FOODON_03411564,food,stop un-matched foods from reaching environmental
FOODON_00001002,food,stop un-matched foods from reaching environmental
NCBITaxon_33213,Animal
NCBITaxon_33090,Plant
NCBITaxon_9606,Human
