Synonym,Standard Term,Term Id,Synonyms Type
spotted whiting,Sillaginodes punctatus,NCBITaxon_135776,Exact Synonym
spotted sillago,Sillaginodes punctatus,NCBITaxon_135776,Exact Synonym
South Australian whiting,Sillaginodes punctatus,NCBITaxon_135776,Exact Synonym
King George whiting,Sillaginodes punctatus,NCBITaxon_135776,Exact Synonym
Australian whiting,Sillaginodes punctatus,NCBITaxon_135776,Exact Synonym
escolar,Lepidocybium flavobrunneum,NCBITaxon_13587,Exact Synonym
marlins,Makaira,NCBITaxon_13602,Exact Synonym
myoga,Zingiber mioga,NCBITaxon_136225,Exact Synonym
Japanese ginger,Zingiber mioga,NCBITaxon_136225,Exact Synonym
squat lobsters,Galatheidae,NCBITaxon_136690,Exact Synonym
chub mackerel,Scomber japonicus,NCBITaxon_13676,Exact Synonym
Spanish mackerel,Scomber japonicus,NCBITaxon_13676,Exact Synonym
Atlantic mackerel,Scomber scombrus,NCBITaxon_13677,Exact Synonym
king mackerel,Scomberomorus cavalla,NCBITaxon_13679,Exact Synonym
spearfishes,Tetrapturus,NCBITaxon_13718,Exact Synonym
yao yong da huang,Rheum officinale,NCBITaxon_137220,Exact Synonym
largehead hairtail,Trichiurus lepturus,NCBITaxon_13733,Exact Synonym
Atlantic cutlassfish,Trichiurus lepturus,NCBITaxon_13733,Exact Synonym
large cranberry,Vaccinium macrocarpon,NCBITaxon_13750,Exact Synonym
American cranberry,Vaccinium macrocarpon,NCBITaxon_13750,Exact Synonym
Viola,Viola <angiosperm>,NCBITaxon_13757,Exact Synonym
coconut palm,Cocos nucifera,NCBITaxon_13894,Exact Synonym
hard pines,Pinus <subgenus>,NCBITaxon_139271,Exact Synonym
diploxylon pines,Pinus <subgenus>,NCBITaxon_139271,Exact Synonym
Pinus,Pinus <subgenus>,NCBITaxon_139271,Exact Synonym
soft pines,Strobus,NCBITaxon_139272,Exact Synonym
haploxylon pines,Strobus,NCBITaxon_139272,Exact Synonym
fleshy prawn,Penaeus chinensis,NCBITaxon_139456,Exact Synonym
sour cherry,Prunus cerasus,NCBITaxon_140311,Exact Synonym
