Ontology ID,IFSAC class,Bucket,,
ifsac_0000041,mollusks (non-bi-valve),mollusks (non-bi-valve) (IFSAC),,
ifsac_0000042,multi-ingredient,multi-ingredient (IFSAC),,
ifsac_0000043,nuts,nuts (IFSAC),,
ifsac_0000044,oils,oils (IFSAC),,
ifsac_0000045,other (food additive),other (food additive) (IFSAC),,
ifsac_0000046,other (sweetener),other (sweetener) (IFSAC),,
ifsac_0000047,other animal,other animal (IFSAC),,
ifsac_0000048,other aquatic animals,other aquatic animals (IFSAC),,
ifsac_0000049,other meat,other meat (IFSAC),,
ifsac_0000050,other poultry,other poultry (IFSAC),,
ifsac_0000051,pig,pig (IFSAC),,
ifsac_0000052,plant,plant (IFSAC),,
ifsac_0000053,pome fruit,pome fruit (IFSAC),,
ifsac_0000054,pork,pork (IFSAC),,
ifsac_0000055,poultry,poultry (IFSAC),,
ifsac_0000056,root/underground,root/underground (IFSAC),,
ifsac_0000057,root/underground (bulbs),root/underground (bulbs) (IFSAC),,
