Bucket,Ontology ID,IFSAC class,,,,,,,,
goose,FOODON_03411253,other poultry,other animal (goose),,,,,,,
pigeon,FOODON_03411304,other poultry,other animal (pigeon),,,,,,,
ratite,FOODON_03414362,other poultry,other animal (ratite),,,,,,,
goose meat food product,FOODON_00001285,other poultry,,,,,,,,
swine,FOODON_03411136,pig,,,,,,,,
sus scrofa domesticus,NCBITaxon_9825,pig,,,,,,,,
sus scrofa,NCBITaxon_9823,pig,,,,,,,,
sus,NCBITaxon_9822,pig,,,,,,,,
viridiplantae,NCBITaxon_33090,plant,,,,,,,,
plant,FOODON_03411347,plant,,,,,,,,
bos,NCBITaxon_9903,plant,,,,,,,,
plant food product,FOODON_00001015,plant,,,,,,,,
plant derived beverage,FOODON_00001253,plant,,,,,,,,
pomaceous fruit food product,FOODON_00001158,pome fruit,,,,,,,,
pork meat food product,FOODON_00001038,pork,,,,,,,,
swine food product,FOODON_00001132,pork,,,,,,,,
bologna,FOODON_03306503,pork;beef;multi-ingredient,,,,,,,,
knockwurst,FOODON_03317269,pork;beef;multi-ingredient,,,,,,,,
frankfurter,FOODON_03302012,pork;beef;multi-ingredient,,,,,,,,
ham and cheese sandwich,FOODON_03307824,pork;dairy;multi-ingredient,,,,,,,,
salami,FOODON_03312067,pork;multi-ingredient,,,,,,,,
swine sausage,FOODON_00002306,pork;multi-ingredient,,,,,,,,
mortadella,FOODON_03311682,pork;multi-ingredient,,,,,,,,
pepperoni,FOODON_03311003,pork;multi-ingredient,,,,,,,,
bratwurst,FOODON_00002911,pork;multi-ingredient,,,,,,,,
chorizo,FOODON_03316070,pork;multi-ingredient,,,,,,,,
swine sandwich,FOODON_00002305,pork;multi-ingredient,,,,,,,,
poultry meat food product,FOODON_00001131,poultry,,,,,,,,
avian food product,FOODON_00001251,poultry,,,,,,,,
plant root food product,FOODON_00001147,root/underground,,,,,,,,
plant root vegetable food product,FOODON_00002150,root/underground,,,,,,,,
onion food product,FOODON_00002069,root/underground (bulbs),,,,,,,,
garlic food product,FOODON_00001895,root/underground (bulbs),,,,,,,,
taro food product,FOODON_00002310,root/underground (other),,,,,,,,
ginger food product,FOODON_00001901,root/underground (other),,,,,,,,
tuber,PO_0025522,root/underground (roots),,,,,,,,
carrot food product,FOODON_00001687,root/underground (roots),,,,,,,,
beet food product,FOODON_00001638,root/underground (roots),,,,,,,,
root vegetable product,FOODON_03317076,root/underground (roots),,,,,,,,
bulb,PO_0025356,root/underground (tubers),,,,,,,,
potato food product,FOODON_00001148,root/underground (tubers),,,,,,,,
yam food product,FOODON_00002368,root/underground (tubers),,,,,,,,
pea plant,FOODON_03411338,seeded vegetables (legumes),,,,,,,,
legume food product,FOODON_00001264,seeded vegetables (legumes),,,,,,,,
corn plant (maize plant),FOODON_03411232,seeded vegetables (other),,,,,,,,
okra vegetable food product,FOODON_00002064,seeded vegetables (other),,,,,,,,
corn (vegetable) food product,FOODON_00001765,seeded vegetables (other),,,,,,,,
tomato vegetable food product,FOODON_00001164,seeded vegetables (solanaceous),,,,,,,,
pepper vegetable food product,FOODON_00002111,seeded vegetables (solanaceous),,,,,,,,
capsicum,NCBITaxon_4071,seeded vegetables (solanaceous),,,,,,,,
squash vegetable food product,FOODON_00002271,seeded vegetables (vine-grown),,,,,,,,
squash plant,FOODON_03411208,seeded vegetables (vine-grown),,,,,,,,
zucchini food product,FOODON_00002448,seeded vegetables (vine-grown),,,,,,,,
cucumber vegetable food product,FOODON_00001795,seeded vegetables (vine-grown),,,,,,,,
seed,PO_0009010,seeds,,,,,,,,
seed (anatomical part),FOODON_03420155,seeds,,,,,,,,
plant seed food product,FOODON_00001173,seeds,,,,,,,,
soybean refined food product,FOODON_00002264,seeds,,,,,,,,
shellfish,FOODON_03411433,shellfish,,,,,,,,
berry food product,FOODON_00001640,small fruit,,,,,,,,
"kiwifruit (whole, raw)",FOODON_03303398,small fruit,,,,,,,,
alfalfa vegetable food product,FOODON_00001584,sprouts,,,,,,,,
brussels sprout vegetable food product,FOODON_00001670,sprouts,,,,,,,,
sprout,FOODON_03420183,sprouts,,,,,,,,
stone fruit food product,FOODON_00002277,stone fruit,,,,,,,,
stone fruit,FOODON_03411539,stone fruit,,,,,,,,
