Term,Expansion,
100th,[Cardinal-Ordinal],
10th,[Cardinal-Ordinal],
11th,[Cardinal-Ordinal],
12th,[Cardinal-Ordinal],
13th,[Cardinal-Ordinal],
14th,[Cardinal-Ordinal],
15th,[Cardinal-Ordinal],
16th,[Cardinal-Ordinal],
17th,[Cardinal-Ordinal],
18th,[Cardinal-Ordinal],
19th,[Cardinal-Ordinal],
1st,[Cardinal-Ordinal],
20th,[Cardinal-Ordinal],
21st,[Cardinal-Ordinal],
22nd,[Cardinal-Ordinal],
23rd,[Cardinal-Ordinal],
24th,[Cardinal-Ordinal],
25th,[Cardinal-Ordinal],
2nd,[Cardinal-Ordinal],
30th,[Cardinal-Ordinal],
31st,[Cardinal-Ordinal],
3rd,[Cardinal-Ordinal],
40th,[Cardinal-Ordinal],
4th,[Cardinal-Ordinal],
50th,[Cardinal-Ordinal],
5th,[Cardinal-Ordinal],
60th,[Cardinal-Ordinal],
6th,[Cardinal-Ordinal],
70th,[Cardinal-Ordinal],
7th,[Cardinal-Ordinal],
80th,[Cardinal-Ordinal],
8th,[Cardinal-Ordinal],
90th,[Cardinal-Ordinal],
9th,[Cardinal-Ordinal],
Eight,[Cardinal-Ordinal],
Eighteen,[Cardinal-Ordinal],
Eighteenth,[Cardinal-Ordinal],
Eighth,[Cardinal-Ordinal],
Eightieth,[Cardinal-Ordinal],
Eighty,[Cardinal-Ordinal],
Eleven,[Cardinal-Ordinal],
Eleventh,[Cardinal-Ordinal],
Fifteen,[Cardinal-Ordinal],
Fifteenth,[Cardinal-Ordinal],
Fifth,[Cardinal-Ordinal],
Fiftieth,[Cardinal-Ordinal],
Fifty,[Cardinal-Ordinal],
First,[Cardinal-Ordinal],
Five,[Cardinal-Ordinal],
Fortieth,[Cardinal-Ordinal],
Forty,[Cardinal-Ordinal],
Four,[Cardinal-Ordinal],
Fourteen,[Cardinal-Ordinal],
Fourteenth,[Cardinal-Ordinal],
Fourth,[Cardinal-Ordinal],
Hundredth,[Cardinal-Ordinal],
Nine,[Cardinal-Ordinal],
Nineteen,[Cardinal-Ordinal],
Nineteenth,[Cardinal-Ordinal],
Ninetieth,[Cardinal-Ordinal],
Ninety,[Cardinal-Ordinal],
Ninth,[Cardinal-Ordinal],
One,[Cardinal-Ordinal],
One hundred,[Cardinal-Ordinal],
One thousand,[Cardinal-Ordinal],
Second,[Cardinal-Ordinal],
Seven,[Cardinal-Ordinal],
Seventeen,[Cardinal-Ordinal],
Seventeenth,[Cardinal-Ordinal],
Seventh,[Cardinal-Ordinal],
Seventieth,[Cardinal-Ordinal],
Seventy,[Cardinal-Ordinal],
Six,[Cardinal-Ordinal],
Sixteen,[Cardinal-Ordinal],
Sixteenth,[Cardinal-Ordinal],
Sixth,[Cardinal-Ordinal],
Sixtieth,[Cardinal-Ordinal],
Sixty,[Cardinal-Ordinal],
Ten,[Cardinal-Ordinal],
Tenth,[Cardinal-Ordinal],
Third,[Cardinal-Ordinal],
Thirteen,[Cardinal-Ordinal],
Thirteenth,[Cardinal-Ordinal],
Thirtieth,[Cardinal-Ordinal],
Thirty,[Cardinal-Ordinal],
Thirty one,[Cardinal-Ordinal],
Thirty-first,[Cardinal-Ordinal],
Thousandth,[Cardinal-Ordinal],
